tf,ub,lb,fast,aa,bb,cc,dd,ee,ff,gg,hh,multiplier,net_profit,drawdown,score
940,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,12.400178376699438
940,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,12.148455228557198
940,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,11.910393948998337
940,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,10.799627686985517
940,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,10.777303818949123
940,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,10.57901196535458
940,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,10.566914366824587
940,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,10.2439197756446
960,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,10.211984102835505
910,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,9.569311673649173
940,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,9.51531802413651
950,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,9.353946051924012
930,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,9.346806217401545
950,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,9.207791558243787
950,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,9.15038149171541
870,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,9.123764089605656
860,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,9.039689982917547
950,1.2000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,8.930306776467356
870,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.789973811854473
960,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.778987293703134
940,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.776283585856243
930,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.764330106265183
940,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.721933192760385
950,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.672581577788753
870,1.6,0.4,70,5,2,3,4,7,10,12,15,60,0,0,8.645565146306973
990,0.3,0.1,80,3,2,3,4,8,10,12,15,60,0,0,8.638914697974222
940,1.2000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,8.579914663741794
950,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.53762943964405
930,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.495055541978696
870,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.309535550081304
910,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.288078629029624
960,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.286883129807615
990,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.20867578000378
940,1.2000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.181142576045932
960,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.1785179078973
920,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.146958195298673
990,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.09611521422273
950,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.053758173153096
910,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,8.042461548063486
870,1.5000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,8.039809145513493
870,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.03036217201049
930,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,8.0224466530666
860,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.998132051425554
950,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.988752285321948
940,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.973402282397218
820,1.7000000000000002,0.2,80,5,2,3,4,7,10,12,15,60,0,0,7.927192771556935
960,1.2000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.91455591445416
950,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.911734323349879
860,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.902030147366782
950,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.873790933027161
860,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.857082942006274
870,1.7000000000000002,0.3,80,5,2,3,4,7,10,12,15,60,0,0,7.818035039046877
960,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.797168422929942
860,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.781262209980515
870,1.3000000000000005,0.4,80,5,2,3,5,6,10,12,15,60,0,0,7.76106267837304
910,1.6,0.1,80,5,2,3,4,6,10,12,15,60,0,0,7.747446018754903
870,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.744091460774847
960,1.2000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.71744922472749
860,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.685467571960182
870,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.65536370276426
840,2.0,0.1,80,5,2,3,4,6,10,12,15,60,0,0,7.6463220238468335
870,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.638874260569083
870,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,7.61776259558223
910,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.5911162683029
960,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.588069673457639
930,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.549523583311787
830,0.6,0.2,70,3,2,3,4,5,10,12,15,60,0,0,7.533016207982359
870,1.6,0.1,80,5,2,3,4,6,10,12,15,60,0,0,7.493750379630437
960,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.487131104561547
950,1.5000000000000002,0.2,80,5,2,3,4,6,10,12,15,60,0,0,7.4527807235767645
960,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.438211110206438
950,1.2000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.427188708373505
980,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.423346423597296
930,1.2000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.397717450481749
920,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.338685699219767
760,1.1,0.1,70,4,2,3,4,8,10,12,15,60,0,0,7.319270060904065
870,1.7000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.294823652245213
950,1.8000000000000005,0.2,80,3,2,3,5,6,10,12,15,60,0,0,7.292995777215705
870,1.5000000000000002,0.4,80,4,2,3,4,6,10,12,15,60,0,0,7.278862086265598
950,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.272804669075901
950,1.5000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,7.272120845929324
830,1.6,0.3,70,5,2,3,4,7,10,12,15,60,0,0,7.2709181766684
760,1.1,0.3,70,4,2,3,4,8,10,12,15,60,0,0,7.257393414626701
870,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.241149308439745
960,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.230089459401896
870,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.221384313747958
910,1.5000000000000002,0.6,80,5,2,3,4,7,10,12,15,60,0,0,7.18915926558284
810,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.153463218875107
970,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.149165362594342
950,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.132606634046788
860,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.105322572098895
980,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.099960924558193
870,1.7000000000000002,0.5,80,5,2,3,4,7,10,12,15,60,0,0,7.076472801003634
860,1.5000000000000002,0.1,80,5,2,3,4,6,10,12,15,60,0,0,7.067239197252298
950,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,7.064436777270528
820,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.063621957183946
860,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.05796414308676
960,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.052954251929868
